cx,cy,angle,tx,ty,hit,miss
4,9,16,7,11,1,0
17,0,131,15,18,0,1
10,9,139,2,14,1,0
7,6,6,15,17,0,1
4,5,93,5,19,1,0
20,1,17,1,13,0,1
20,8,56,20,10,1,0
0,9,167,14,17,0,1
19,7,143,11,14,1,0
8,9,0,15,12,0,1
19,0,7,3,11,0,1
7,7,112,8,18,0,1
5,0,150,20,14,0,1
18,6,139,2,19,1,0
16,8,143,5,18,1,0
7,6,56,10,12,1,0
18,0,125,6,14,1,0
15,2,134,12,18,0,1
6,2,57,18,19,1,0
20,7,137,10,16,1,0
5,0,74,18,18,0,1
8,6,32,16,12,1,0
3,3,139,4,15,0,1
10,9,84,9,13,1,0
3,1,176,0,17,0,1
16,9,125,13,10,1,0
4,3,57,15,11,0,1
0,0,22,20,16,0,1
12,9,13,0,12,0,1
14,0,107,9,19,1,0
13,6,91,16,16,0,1
13,7,143,16,12,0,1
20,0,155,1,10,1,0
16,5,27,9,16,0,1
19,5,150,0,18,1,0
9,2,46,6,12,0,1
3,9,62,12,19,0,1
17,0,94,15,10,1,0
17,0,134,4,15,1,0
0,4,67,3,13,1,0
4,4,8,20,11,0,1
15,6,175,18,15,0,1
9,8,122,15,11,0,1
12,9,29,19,15,1,0
7,2,17,3,17,0,1
18,6,86,13,13,0,1
16,8,3,9,10,0,1
8,6,22,3,18,0,1
14,7,137,13,14,0,1
18,7,57,19,12,1,0
20,2,127,6,10,0,1
0,8,67,3,19,1,0
5,1,68,14,18,1,0
15,5,65,7,11,0,1
14,1,117,7,17,1,0
16,6,112,15,13,1,0
9,9,32,19,17,1,0
8,1,120,9,13,0,1
1,1,114,12,19,0,1
9,5,95,0,11,0,1
2,0,50,11,13,1,0
19,8,134,15,11,1,0
5,0,22,3,17,0,1
16,7,83,18,14,1,0
17,8,133,12,16,1,0
15,1,128,8,18,0,1
10,6,140,8,10,1,0
4,8,52,5,11,1,0
17,2,149,14,11,0,1
0,2,33,17,14,1,0
14,2,78,17,17,1,0
20,3,179,10,18,0,1
6,4,71,9,13,1,0
19,2,118,10,10,0,1
17,9,83,17,17,1,0
1,4,131,3,11,0,1
10,5,62,11,10,1,0
11,0,137,1,11,1,0
11,9,60,17,18,1,0
8,8,176,17,12,0,1
16,5,134,11,10,1,0
1,1,41,0,10,0,1
11,9,133,4,16,1,0
13,9,0,1,12,0,1
15,0,110,6,19,1,0
16,5,95,14,17,1,0
20,8,178,3,10,1,0
20,4,13,8,19,0,1
14,4,82,14,16,1,0
4,5,87,4,15,1,0
9,1,124,1,15,1,0
13,4,106,9,15,1,0
5,9,137,1,12,1,0
8,0,65,15,14,1,0
20,1,134,6,15,1,0
8,7,72,6,18,0,1
8,1,64,14,15,1,0
20,9,141,19,19,0,1
10,8,34,19,15,1,0
10,0,121,6,19,0,1
8,7,101,8,11,1,0
7,7,116,0,17,1,0
20,5,43,15,18,0,1
2,8,90,2,19,1,0
8,4,52,20,18,1,0
15,7,158,5,13,1,0
11,6,109,3,12,0,1
9,5,49,16,15,1,0
20,2,28,7,14,0,1
7,4,96,12,14,0,1
9,8,125,12,14,0,1
6,3,19,2,10,0,1
16,8,137,10,12,1,0
11,8,137,10,11,1,0
10,9,63,15,17,1,0
9,3,128,1,17,0,1
16,2,97,5,16,0,1
6,6,67,12,18,1,0
6,7,23,19,12,1,0
17,6,175,3,15,0,1
5,3,84,0,12,0,1
15,4,126,6,19,1,0
19,7,119,10,17,0,1
3,9,96,12,15,0,1
14,7,12,1,15,0,1
14,4,67,17,16,1,0
12,3,56,8,10,0,1
10,3,16,6,17,0,1
3,1,113,17,11,0,1
20,0,77,4,19,0,1
18,3,144,16,11,0,1
18,0,117,18,12,0,1
10,1,164,19,16,0,1
7,4,166,3,12,0,1
18,4,139,4,16,1,0
19,6,94,1,10,0,1
10,0,132,3,10,1,0
11,7,128,5,12,1,0
15,6,97,5,12,0,1
7,2,63,12,12,1,0
9,9,152,18,19,0,1
2,5,21,20,15,0,1
16,5,178,9,14,0,1
15,5,98,0,16,0,1
13,7,4,13,15,0,1
20,0,118,2,10,0,1
14,9,98,14,14,1,0
6,0,171,8,17,0,1
7,7,161,17,12,0,1
20,1,44,14,14,0,1
10,1,137,1,12,1,0
16,0,171,7,12,0,1
2,9,124,18,12,0,1
14,1,105,17,12,0,1
18,5,154,1,16,0,1
13,3,178,14,15,0,1
14,4,95,12,19,1,0
4,8,157,18,11,0,1
14,7,50,18,15,0,1
5,5,53,12,10,0,1
1,8,16,1,15,0,1
15,4,69,20,16,1,0
16,1,134,0,18,1,0
10,4,82,6,16,0,1
10,1,118,12,17,0,1
20,3,98,9,17,0,1
14,2,84,15,18,1,0
19,8,57,12,16,0,1
2,2,98,0,19,1,0
15,2,159,15,15,0,1
17,5,160,20,16,0,1
15,4,61,4,13,0,1
16,8,103,15,14,1,0
15,2,60,0,16,0,1
10,8,52,18,19,1,0
6,2,102,1,17,1,0
3,6,142,4,14,0,1
14,7,79,4,18,0,1
17,8,77,19,14,1,0
18,8,128,4,17,0,1
10,4,80,11,17,1,0
20,7,9,13,14,0,1
8,1,165,13,16,0,1
16,6,79,15,16,0,1
19,8,167,8,10,1,0
4,2,57,13,16,1,0
19,8,68,8,17,0,1
16,3,100,14,15,1,0
6,6,38,15,15,1,0
14,9,142,11,14,0,1
9,1,53,11,10,0,1
13,5,19,5,10,0,1
13,8,101,1,12,0,1
16,3,7,8,12,0,1
4,9,82,18,13,0,1
8,6,88,8,17,1,0
1,5,77,0,17,0,1
10,8,30,0,10,0,1
13,5,47,3,18,0,1
19,1,21,14,12,0,1
11,5,103,11,15,0,1
1,0,106,15,19,0,1
10,1,47,2,15,0,1
1,6,4,4,12,0,1
18,1,69,13,16,0,1
19,2,125,12,13,1,0
3,8,144,20,14,0,1
4,0,107,0,12,1,0
17,7,157,8,15,0,1
18,9,57,9,18,0,1
15,4,84,15,16,1,0
12,3,115,3,19,1,0
15,0,97,12,12,1,0
2,9,173,13,11,0,1
16,4,59,20,14,1,0
19,9,107,18,11,1,0
4,2,150,19,10,0,1
8,2,129,16,13,0,1
1,8,52,5,11,1,0
17,5,26,7,14,0,1
20,7,97,5,14,0,1
7,8,76,10,16,1,0
16,5,127,13,12,1,0
6,2,36,5,15,0,1
19,5,141,18,10,0,1
8,1,41,3,12,0,1
7,1,12,19,10,0,1
4,2,63,10,12,1,0
15,6,102,14,19,1,0
0,6,27,19,14,1,0
5,1,159,17,17,0,1
8,0,73,12,13,1,0
13,3,142,10,18,0,1
17,9,139,2,11,0,1
6,4,142,15,10,0,1
0,6,54,5,10,1,0
20,2,140,2,15,1,0
20,2,33,17,13,0,1
9,7,144,10,13,0,1
5,7,17,12,17,0,1
7,6,70,4,12,0,1
12,9,106,10,11,1,0
5,2,85,7,19,1,0
6,2,78,13,17,0,1
2,1,126,4,13,0,1
20,5,33,13,19,0,1
0,9,27,13,17,1,0
14,7,116,10,11,1,0
14,1,22,0,10,0,1
5,5,134,4,10,0,1
15,1,135,5,15,0,1
18,2,163,19,15,0,1
19,4,170,17,12,0,1
0,3,32,14,11,1,0
13,3,119,7,11,1,0
14,6,50,3,16,0,1
16,2,156,18,16,0,1
3,8,70,4,10,1,0
3,0,31,20,10,1,0
14,9,146,13,11,1,0
3,2,102,15,15,0,1
16,8,137,14,13,0,1
12,3,46,7,16,0,1
11,9,112,6,17,1,0
13,6,61,19,19,1,0
18,2,13,8,19,0,1
16,8,146,9,15,1,0
4,2,53,7,12,0,1
19,3,85,4,16,0,1
1,8,26,15,13,1,0
0,9,95,13,17,0,1
17,1,127,4,18,1,0
12,2,169,20,19,0,1
11,5,110,7,18,1,0
9,9,160,11,17,0,1
19,1,112,16,11,1,0
16,4,90,15,14,1,0
6,7,48,13,14,1,0
14,3,123,16,17,0,1
9,3,100,6,18,1,0
13,7,123,11,10,1,0
15,1,91,13,12,1,0
3,9,177,3,10,1,0
2,3,67,8,16,1,0
6,8,53,9,13,1,0
4,6,94,10,16,0,1
5,6,146,11,19,0,1
14,8,139,3,16,1,0
19,6,143,5,14,0,1
12,2,85,0,18,0,1
15,6,72,17,11,1,0
2,4,19,20,10,1,0
4,5,160,10,13,0,1
6,7,168,8,16,0,1
12,5,92,13,11,1,0
12,1,146,1,10,1,0
5,5,147,13,17,0,1
20,2,19,15,10,0,1
8,2,19,18,13,0,1
13,8,99,10,15,1,0
12,5,95,16,14,0,1
1,2,64,9,19,1,0
8,0,40,20,12,1,0
20,4,63,11,13,0,1
19,0,77,7,15,0,1
6,7,133,2,10,1,0
12,9,87,12,13,1,0
2,5,74,6,15,1,0
1,8,72,2,17,1,0
17,3,18,17,12,0,1
9,7,6,10,15,0,1
10,5,65,16,14,1,0
16,9,66,16,13,1,0
17,6,154,3,13,1,0
8,3,124,10,15,0,1
15,2,163,7,15,0,1
6,2,144,2,13,0,1
14,6,57,18,13,1,0
8,4,126,2,17,0,1
7,0,130,4,17,0,1
8,3,173,2,13,0,1
1,3,44,7,11,1,0
16,2,92,14,17,1,0
8,9,178,18,10,1,0
4,4,95,3,19,1,0
11,4,127,9,16,0,1
19,6,77,3,10,0,1
1,0,138,20,11,0,1
18,9,124,14,17,1,0
6,5,49,10,15,0,1
17,5,172,3,18,0,1
9,6,85,12,18,1,0
20,6,10,1,18,0,1
6,2,123,1,11,1,0
9,5,135,10,13,0,1
12,5,109,16,18,0,1
12,7,104,4,12,0,1
6,1,112,3,12,1,0
5,8,15,3,17,0,1
14,4,90,12,10,1,0
0,9,18,13,14,1,0
4,6,84,11,12,0,1
8,7,157,1,14,0,1
11,0,25,20,16,0,1
14,4,27,15,13,0,1
16,6,107,16,12,1,0
11,9,101,12,12,1,0
12,5,152,2,16,0,1
4,7,96,4,15,1,0
0,5,171,20,12,0,1
13,6,61,20,18,1,0
11,3,19,12,18,0,1
7,2,111,6,18,0,1
15,9,149,20,18,0,1
20,4,93,19,10,1,0
10,7,167,2,13,0,1
0,2,131,11,11,0,1
17,1,153,0,13,0,1
9,7,53,4,13,0,1
10,9,11,14,10,1,0
2,3,37,12,10,1,0
9,8,84,16,11,0,1
15,7,83,17,15,1,0
3,8,145,13,18,0,1
8,6,3,15,15,0,1
9,6,117,11,12,0,1
2,1,81,19,17,0,1
6,6,44,18,19,1,0
17,2,156,7,16,0,1
16,9,73,5,11,0,1
2,3,56,15,19,1,0
15,1,97,14,15,1,0
1,3,62,9,11,0,1
10,0,119,3,11,1,0
11,7,104,15,12,0,1
1,9,43,8,16,1,0
9,3,47,19,13,1,0
7,5,46,17,17,1,0
16,6,54,16,15,0,1
11,8,129,4,15,1,0
3,7,48,4,18,0,1
20,7,145,3,13,0,1
2,8,5,0,16,0,1
13,6,144,1,16,1,0
5,0,95,3,16,1,0
19,5,131,11,12,1,0
14,3,123,8,10,1,0
18,0,106,10,11,0,1
14,1,85,17,13,1,0
19,9,174,17,10,1,0
12,8,147,18,11,0,1
5,7,6,11,19,0,1
11,6,7,1,16,0,1
11,9,172,3,10,1,0
10,8,67,15,14,0,1
5,7,173,14,18,0,1
12,1,118,16,12,0,1
13,6,162,0,11,1,0
7,9,170,15,10,0,1
11,8,60,13,17,0,1
11,6,28,18,10,1,0
13,8,92,9,15,0,1
10,8,88,13,10,0,1
12,8,56,7,18,0,1
14,2,89,16,11,1,0
0,3,104,10,10,0,1
7,5,105,5,16,1,0
20,3,171,6,16,0,1
9,8,50,20,10,0,1
14,3,54,6,13,0,1
0,1,145,9,15,0,1
0,7,31,17,17,1,0
2,3,72,8,16,1,0
13,6,63,18,19,1,0
20,2,131,18,14,0,1
9,7,102,20,14,0,1
20,8,107,17,14,1,0
11,3,60,6,19,0,1
12,2,68,15,13,1,0
9,4,121,11,18,0,1
12,2,53,7,11,0,1
9,6,32,16,10,1,0
1,0,49,17,19,1,0
10,3,54,9,19,0,1
20,9,157,13,12,1,0
15,2,2,18,11,0,1
13,8,16,10,18,0,1
19,1,92,18,19,1,0
16,3,108,11,19,1,0
0,6,87,14,12,0,1
2,1,7,9,12,0,1
9,6,25,20,10,1,0
12,9,29,20,15,1,0
8,5,157,13,16,0,1
19,8,180,4,14,0,1
15,8,164,2,19,0,1
3,3,167,17,17,0,1
3,5,79,15,15,0,1
1,4,119,16,13,0,1
0,1,66,6,10,1,0
14,0,82,15,14,1,0
10,0,158,12,19,0,1
1,0,63,9,18,1,0
2,9,57,6,15,1,0
0,3,55,20,13,0,1
19,4,43,7,15,0,1
7,4,69,9,10,1,0
19,5,91,7,10,0,1
14,6,143,16,15,0,1
1,3,55,12,19,1,0
8,5,111,18,17,0,1
19,5,48,18,17,0,1
6,1,50,16,14,1,0
1,5,151,0,11,0,1
12,7,100,11,18,1,0
13,8,70,17,15,1,0
10,3,73,3,10,0,1
6,7,25,18,13,1,0
15,2,84,4,16,0,1
16,8,147,8,12,1,0
1,6,57,4,14,1,0
3,8,150,16,10,0,1
4,5,72,9,17,1,0
16,9,148,9,16,0,1
16,7,112,12,12,1,0
9,6,99,7,13,1,0
16,2,159,10,19,0,1
2,6,26,12,15,0,1
2,1,177,4,14,0,1
16,3,99,5,11,0,1
8,5,119,6,14,0,1
1,0,144,12,15,0,1
18,5,92,16,15,1,0
0,1,15,15,11,0,1
2,0,148,15,10,0,1
4,3,53,20,13,0,1
4,2,16,7,16,0,1
10,9,141,2,12,0,1
20,9,145,16,15,0,1
14,9,157,20,11,0,1
16,7,135,12,13,1,0
12,2,32,8,18,0,1
3,7,76,10,12,0,1
18,2,70,20,11,1,0
18,9,148,15,13,1,0
8,2,144,6,10,0,1
1,9,23,16,13,0,1
3,8,49,10,19,1,0
4,6,116,3,10,1,0
16,7,19,20,11,0,1
11,6,180,13,19,0,1
14,4,4,19,17,0,1
12,1,95,12,15,1,0
12,2,141,0,10,1,0
11,9,30,17,12,1,0
11,0,107,5,14,1,0
17,5,0,19,19,0,1
11,9,105,15,11,0,1
20,5,14,17,13,0,1
13,5,148,2,10,1,0
15,9,159,10,10,1,0
14,4,42,18,12,0,1
10,2,128,3,10,1,0
1,6,138,11,16,0,1
9,9,2,4,15,0,1
13,1,35,15,15,0,1
13,3,81,20,13,0,1
9,9,120,6,13,1,0
16,9,69,18,16,1,0
3,3,74,19,11,0,1
5,6,64,16,14,0,1
5,4,121,16,12,0,1
6,5,11,1,17,0,1
19,6,154,10,19,0,1
5,6,41,18,17,1,0
9,8,11,7,10,0,1
2,6,152,5,16,0,1
3,3,96,1,18,1,0
20,1,97,11,11,0,1
19,6,147,4,15,1,0
2,6,34,11,12,1,0
0,3,129,4,10,0,1
15,4,155,4,11,1,0
14,7,119,10,18,1,0
11,3,55,16,16,0,1
16,0,98,16,12,1,0
19,8,137,10,18,1,0
12,9,134,5,19,1,0
20,3,152,2,19,0,1
0,0,98,12,14,0,1
13,4,138,3,16,0,1
3,0,124,15,13,0,1
4,9,24,18,17,1,0
11,0,27,8,10,0,1
13,2,66,8,19,0,1
14,9,89,15,18,1,0
5,2,110,13,16,0,1
1,3,161,18,17,0,1
17,2,17,15,10,0,1
19,0,108,18,15,0,1
6,0,61,9,19,0,1
18,5,90,17,13,1,0
13,9,72,13,15,1,0
13,7,131,19,17,0,1
9,1,55,20,12,0,1
1,6,71,3,13,1,0
6,5,97,0,10,0,1
7,8,69,12,19,1,0
1,4,42,7,11,1,0
15,4,152,3,13,0,1
8,0,108,12,13,0,1
15,9,158,20,16,0,1
4,9,91,3,12,1,0
16,3,43,0,17,0,1
1,8,9,4,12,0,1
0,8,71,1,14,1,0
17,7,101,8,19,0,1
13,3,122,5,15,1,0
4,3,138,16,14,0,1
11,0,69,2,18,0,1
5,8,20,18,12,1,0
14,9,87,13,19,1,0
3,2,47,16,15,1,0
16,8,1,16,10,1,0
0,6,78,17,17,0,1
20,0,134,10,12,1,0
18,3,111,12,18,1,0
8,9,34,16,14,1,0
6,5,89,9,17,0,1
6,4,45,19,16,1,0
9,2,123,0,14,1,0
0,6,68,7,18,1,0
11,7,2,14,16,0,1
6,8,119,0,18,1,0
17,7,73,18,10,1,0
4,2,168,19,13,0,1
7,3,163,8,13,0,1
8,5,55,10,10,1,0
15,2,177,6,12,0,1
18,9,133,16,14,1,0
1,8,55,6,16,1,0
20,8,32,5,12,0,1
6,7,49,3,16,0,1
3,6,24,10,19,0,1
6,0,96,6,14,1,0
6,5,107,1,17,1,0
8,9,31,6,18,0,1
9,5,4,2,14,0,1
4,8,131,2,12,1,0
14,2,159,7,18,0,1
4,4,88,12,10,0,1
20,1,110,0,14,0,1
5,6,157,7,14,0,1
13,7,142,1,14,1,0
7,6,85,13,13,0,1
16,7,89,20,15,0,1
12,2,123,16,11,0,1
15,0,128,16,10,0,1
16,2,131,2,16,1,0
2,1,37,14,11,1,0
6,7,112,6,16,0,1
9,4,129,5,18,0,1
14,2,101,8,10,0,1
9,4,100,7,19,1,0
20,8,38,2,19,0,1
5,8,180,3,15,0,1
11,3,93,12,17,1,0
11,7,56,4,17,0,1
18,6,155,12,10,1,0
9,6,128,4,14,1,0
14,0,123,4,17,1,0
5,2,25,12,12,0,1
11,0,81,4,13,0,1
17,5,140,16,17,0,1
18,4,63,2,11,0,1
12,9,10,6,16,0,1
6,6,160,17,17,0,1
20,7,132,2,15,0,1
7,7,123,2,16,1,0
10,6,50,20,14,0,1
7,3,56,16,17,1,0
10,0,62,20,15,1,0
15,4,83,17,17,1,0
11,9,64,15,17,1,0
7,8,124,3,13,1,0
3,9,69,13,16,0,1
2,5,138,2,18,0,1
20,3,94,13,18,0,1
6,2,13,2,16,0,1
0,6,131,0,18,0,1
11,2,100,20,13,0,1
6,9,42,1,15,0,1
12,2,18,16,14,0,1
18,0,127,8,11,1,0
2,2,47,20,18,0,1
10,4,153,15,19,0,1
1,2,121,5,19,0,1
19,4,168,2,15,0,1
2,4,62,10,15,1,0
5,6,28,3,19,0,1
10,5,15,0,18,0,1
11,4,156,7,18,0,1
2,7,31,12,12,1,0
9,7,116,5,14,1,0
7,2,107,8,10,0,1
1,8,27,16,15,1,0
5,3,140,11,12,0,1
3,1,9,10,17,0,1
10,9,129,6,12,1,0
3,9,60,8,19,1,0
19,0,126,6,18,1,0
4,2,82,10,12,0,1
6,6,176,16,11,0,1
1,4,166,16,11,0,1
5,7,102,12,15,0,1
14,5,46,19,10,1,0
13,4,175,14,11,0,1
6,2,65,18,12,0,1
1,4,137,20,10,0,1
15,7,175,20,10,0,1
5,9,94,12,13,0,1
4,1,119,15,13,0,1
17,6,8,9,19,0,1
1,5,48,10,16,1,0
19,0,63,18,18,0,1
17,4,124,16,15,0,1
10,9,107,7,13,1,0
9,6,163,0,12,0,1
19,2,112,14,19,1,0
0,9,1,16,10,1,0
4,9,173,20,14,0,1
11,3,70,12,11,1,0
19,0,15,5,11,0,1
3,7,27,17,19,0,1
11,3,93,10,11,1,0
16,3,107,12,14,1,0
15,2,124,5,15,1,0
17,3,23,14,15,0,1
6,5,80,8,10,1,0
6,6,42,3,13,0,1
6,4,140,5,12,0,1
3,4,145,5,12,0,1
18,2,158,3,10,1,0
9,2,16,3,17,0,1
20,2,120,13,16,1,0
17,9,9,10,10,0,1
18,8,157,20,14,0,1
19,0,122,12,17,0,1
10,4,69,17,17,1,0
9,9,69,2,18,0,1
10,8,35,20,16,1,0
12,3,146,3,15,0,1
6,8,118,11,12,0,1
16,5,25,7,13,0,1
19,1,122,6,13,0,1
11,6,91,19,10,0,1
18,4,81,5,17,0,1
13,3,180,7,14,0,1
8,7,160,1,10,1,0
20,6,129,0,12,0,1
2,4,115,15,12,0,1
12,1,167,3,17,0,1
12,9,39,13,10,1,0
12,7,124,9,11,1,0
3,1,101,3,17,0,1
12,1,117,4,14,1,0
3,6,103,4,10,1,0
13,6,15,5,11,0,1
1,3,6,3,19,0,1
11,3,63,15,19,0,1
17,2,98,16,15,1,0
11,7,70,15,15,1,0
11,5,177,13,17,0,1
14,6,127,7,16,1,0
19,9,97,11,18,0,1
7,8,17,0,19,0,1
12,5,117,3,18,0,1
15,7,72,12,15,0,1
18,0,42,2,16,0,1
13,2,64,10,11,0,1
6,2,70,10,17,1,0
16,9,21,0,14,0,1
5,6,145,1,10,1,0
2,9,18,15,14,1,0
6,8,121,5,11,1,0
1,1,61,5,10,1,0
4,6,71,8,19,1,0
5,4,73,2,17,0,1
18,9,72,8,10,0,1
9,9,25,10,10,1,0
13,3,22,12,10,0,1
8,9,30,3,17,0,1
3,9,36,17,17,1,0
11,9,170,6,10,1,0
16,1,140,16,10,0,1
20,6,125,10,18,1,0
14,8,53,2,14,0,1
14,3,59,20,12,1,0
3,6,11,3,16,0,1
20,7,81,13,10,0,1
13,1,124,15,11,0,1
0,0,71,8,18,1,0
15,8,169,1,11,1,0
14,1,148,13,18,0,1
20,5,150,1,14,1,0
11,9,136,19,18,0,1
2,4,89,2,11,1,0
12,7,52,6,11,0,1
10,2,67,6,17,0,1
9,9,86,10,11,1,0
13,2,66,15,11,1,0
14,4,151,17,14,0,1
16,5,65,11,14,0,1
9,8,12,3,17,0,1
7,0,64,16,16,1,0
18,6,57,19,11,1,0
7,3,127,2,11,1,0
9,3,51,19,13,1,0
2,6,59,9,14,1,0
0,2,129,8,15,0,1
9,1,58,19,16,1,0
15,2,165,3,16,0,1
12,9,0,20,18,0,1
7,3,45,5,15,0,1
20,4,38,1,19,0,1
2,5,57,9,12,0,1
19,2,79,5,11,0,1
9,7,150,10,12,0,1
8,4,33,20,14,1,0
1,0,93,2,11,1,0
20,9,179,4,11,1,0
18,7,50,5,14,0,1
2,0,11,10,11,0,1
18,3,126,1,17,0,1
14,5,85,19,10,0,1
3,2,83,9,11,0,1
3,7,125,3,17,0,1
4,0,166,0,16,0,1
18,2,135,7,15,1,0
2,6,68,11,19,0,1
16,9,156,7,15,1,0
4,1,55,14,12,1,0
15,8,142,12,12,1,0
5,4,26,15,14,0,1
1,8,117,13,10,0,1
1,1,91,3,16,0,1
5,2,65,14,18,1,0
8,7,42,17,17,1,0
6,5,78,8,19,1,0
9,2,34,4,11,0,1
0,4,21,13,16,0,1
0,6,33,19,18,1,0
10,9,61,14,14,1,0
19,6,0,14,16,0,1
9,8,136,10,16,0,1
16,9,16,15,17,0,1
13,1,104,0,11,0,1
14,5,67,17,17,1,0
4,4,41,20,19,1,0
14,7,155,7,11,1,0
15,9,57,1,19,0,1
20,4,83,18,11,0,1
10,1,76,16,17,1,0
3,2,66,9,14,1,0
9,2,33,0,10,0,1
6,4,171,20,18,0,1
4,3,41,12,12,1,0
3,6,11,17,19,0,1
7,4,115,2,16,1,0
3,6,112,0,18,1,0
8,1,167,12,17,0,1
3,8,36,7,12,1,0
1,4,49,1,11,0,1
10,4,86,13,15,0,1
16,0,101,14,14,1,0
13,8,172,10,14,0,1
0,7,178,17,10,0,1
6,1,104,0,19,1,0
12,1,3,0,19,0,1
5,1,17,15,15,0,1
2,7,173,2,16,0,1
8,3,102,5,15,1,0
5,3,135,0,17,0,1
17,9,73,18,12,1,0
2,3,46,4,10,0,1
17,7,103,4,19,0,1
2,6,13,17,10,1,0
11,4,167,4,14,0,1
1,8,52,4,14,1,0
0,4,62,2,11,1,0
9,4,20,12,16,0,1
5,9,52,9,16,1,0
4,6,106,2,16,1,0
1,7,80,14,15,0,1
9,6,114,2,17,1,0
0,9,47,8,17,1,0
11,5,108,11,11,1,0
13,0,25,14,10,0,1
18,0,84,11,14,0,1
0,1,81,3,17,1,0
7,6,107,4,18,1,0
18,2,158,4,11,0,1
0,7,40,8,16,1,0
12,8,25,16,14,0,1
1,6,54,1,19,0,1
5,5,89,0,10,0,1
7,0,44,20,13,1,0
16,9,102,7,16,0,1
0,5,45,5,12,1,0
7,6,155,7,15,0,1
19,4,136,7,17,1,0
9,9,163,9,10,1,0
10,0,49,6,14,0,1
2,7,52,4,13,0,1
16,6,5,18,12,0,1
14,6,10,5,11,0,1
3,8,23,7,12,0,1
3,0,51,14,14,1,0
20,7,124,10,13,0,1
13,2,172,17,13,0,1
2,4,94,3,16,1,0
1,6,86,2,17,1,0
17,8,132,14,19,0,1
10,6,18,19,11,1,0
14,1,41,9,17,0,1
0,7,171,5,19,0,1
6,1,140,17,13,0,1
13,7,86,15,16,1,0
3,3,166,13,12,0,1
19,9,50,15,13,0,1
17,9,160,3,13,1,0
7,8,69,10,11,1,0
18,2,159,10,14,0,1
10,7,13,17,10,1,0
18,0,100,15,18,1,0
9,8,101,9,17,1,0
4,9,57,17,11,0,1
16,4,137,4,13,1,0
1,1,50,2,10,0,1
11,8,174,2,10,1,0
9,8,42,2,17,0,1
14,8,83,16,14,1,0
10,8,67,18,19,0,1
17,1,60,20,15,0,1
19,3,129,13,10,1,0
7,6,29,6,10,0,1
11,6,41,20,15,1,0
7,3,66,7,10,0,1
12,5,57,13,17,0,1
20,0,69,6,13,0,1
15,8,63,17,13,1,0
5,3,61,20,18,0,1
1,1,49,10,11,1,0
16,8,119,9,17,1,0
14,4,147,7,15,0,1
2,5,8,15,19,0,1
4,0,90,1,10,0,1
2,3,164,9,17,0,1
18,8,101,12,11,0,1
17,4,39,17,11,0,1
16,7,129,11,15,1,0
9,2,52,18,14,1,0
6,0,167,14,11,0,1
20,0,164,12,10,0,1
9,3,178,13,17,0,1
2,8,27,16,13,1,0
0,7,174,0,15,0,1
20,5,47,5,18,0,1
0,8,58,10,18,0,1
11,2,150,3,14,0,1
20,2,112,13,19,1,0
6,1,79,1,12,0,1
0,8,2,19,10,1,0
14,9,115,12,18,1,0
2,8,13,11,10,1,0
2,8,101,2,13,1,0
4,6,12,5,12,0,1
12,0,89,14,14,1,0
11,3,105,7,13,1,0
12,3,121,4,13,1,0
3,6,179,11,10,0,1
7,8,53,14,15,1,0
14,8,37,15,11,1,0
0,3,43,5,18,0,1
8,3,107,4,19,1,0
6,6,42,18,17,1,0
3,8,109,1,17,1,0
16,5,142,4,16,1,0
2,2,37,12,14,0,1
15,4,105,17,14,0,1
5,2,27,5,12,0,1
0,4,60,9,16,1,0
1,1,109,4,10,0,1
12,1,130,10,12,0,1
14,6,111,2,10,0,1
12,1,103,7,13,0,1
16,0,13,12,12,0,1
9,9,93,2,19,0,1
17,3,148,2,11,1,0
3,7,47,7,13,1,0
8,4,44,5,13,0,1
12,6,4,3,18,0,1
11,5,143,10,13,0,1
9,1,56,4,11,0,1
2,0,35,17,13,0,1
5,6,100,4,11,1,0
0,1,87,1,15,1,0
10,8,165,6,17,0,1
0,3,147,4,10,0,1
17,7,107,16,11,1,0
19,1,103,15,10,1,0
4,1,96,10,12,0,1
12,4,84,14,19,1,0
17,8,164,5,12,1,0
7,2,79,7,19,0,1
8,4,120,0,15,1,0
1,3,86,2,10,1,0
8,3,46,3,11,0,1
18,0,41,16,16,0,1
1,9,109,0,18,1,0
17,2,98,16,18,1,0
12,0,178,20,14,0,1
1,3,73,4,12,1,0
4,7,16,19,13,1,0
10,3,93,0,14,0,1
1,2,61,7,14,1,0
4,4,142,0,10,0,1
5,1,19,15,16,0,1
16,5,116,10,19,1,0
7,1,140,0,12,0,1
16,8,49,5,18,0,1
14,8,151,2,14,1,0
11,3,17,6,16,0,1
7,2,58,13,10,1,0
16,2,118,10,10,1,0
3,8,163,3,17,0,1
15,2,132,9,10,1,0
8,5,139,19,17,0,1
5,1,134,4,18,0,1
15,4,109,11,18,1,0
6,8,52,11,11,0,1
5,4,148,6,17,0,1
10,0,29,7,11,0,1
9,7,6,7,11,0,1
15,6,111,11,11,1,0
12,0,59,19,12,1,0
19,2,153,17,10,0,1
18,3,125,9,13,1,0
3,7,127,13,14,0,1
14,9,1,6,19,0,1
10,8,21,15,11,1,0
17,7,82,11,18,0,1
11,8,56,14,10,1,0
18,7,106,12,12,0,1
17,9,119,9,16,0,1
16,2,61,3,18,0,1
8,0,180,9,19,0,1
3,8,111,13,17,0,1
